"","Indicator.Code","Year","count","Indicator.Name"
"134","AG.LND.FRST.K2",1992,210,"Forest area (sq. km)"
"135","AG.LND.FRST.K2",1993,210,"Forest area (sq. km)"
"136","AG.LND.FRST.K2",1994,210,"Forest area (sq. km)"
"137","AG.LND.FRST.K2",1995,210,"Forest area (sq. km)"
"138","AG.LND.FRST.K2",1996,210,"Forest area (sq. km)"
"139","AG.LND.FRST.K2",1997,210,"Forest area (sq. km)"
"140","AG.LND.FRST.K2",1998,210,"Forest area (sq. km)"
"141","AG.LND.FRST.K2",1999,210,"Forest area (sq. km)"
"142","AG.LND.FRST.K2",2000,214,"Forest area (sq. km)"
"143","AG.LND.FRST.K2",2001,210,"Forest area (sq. km)"
"144","AG.LND.FRST.K2",2002,210,"Forest area (sq. km)"
"145","AG.LND.FRST.K2",2003,210,"Forest area (sq. km)"
"146","AG.LND.FRST.K2",2004,210,"Forest area (sq. km)"
"147","AG.LND.FRST.K2",2005,210,"Forest area (sq. km)"
"148","AG.LND.FRST.K2",2006,210,"Forest area (sq. km)"
"149","AG.LND.FRST.K2",2007,210,"Forest area (sq. km)"
"150","AG.LND.FRST.K2",2008,210,"Forest area (sq. km)"
"151","AG.LND.FRST.K2",2009,210,"Forest area (sq. km)"
"152","AG.LND.FRST.K2",2010,214,"Forest area (sq. km)"
"153","AG.LND.FRST.K2",2011,214,"Forest area (sq. km)"
"154","AG.LND.FRST.K2",2012,214,"Forest area (sq. km)"
"155","AG.LND.FRST.K2",2013,214,"Forest area (sq. km)"
"156","AG.LND.FRST.K2",2014,214,"Forest area (sq. km)"
"157","AG.LND.FRST.K2",2015,214,"Forest area (sq. km)"
"158","AG.LND.FRST.K2",2016,214,"Forest area (sq. km)"
"159","AG.LND.FRST.K2",2017,214,"Forest area (sq. km)"
"160","AG.LND.FRST.K2",2018,214,"Forest area (sq. km)"
"161","AG.LND.FRST.K2",2019,210,"Forest area (sq. km)"
"162","AG.LND.FRST.K2",2020,210,"Forest area (sq. km)"
"163","AG.LND.FRST.ZS",1990,205,"Forest area (% of land area)"
"164","AG.LND.FRST.ZS",1991,209,"Forest area (% of land area)"
"165","AG.LND.FRST.ZS",1992,209,"Forest area (% of land area)"
"166","AG.LND.FRST.ZS",1993,209,"Forest area (% of land area)"
"167","AG.LND.FRST.ZS",1994,209,"Forest area (% of land area)"
"168","AG.LND.FRST.ZS",1995,209,"Forest area (% of land area)"
"169","AG.LND.FRST.ZS",1996,209,"Forest area (% of land area)"
"170","AG.LND.FRST.ZS",1997,209,"Forest area (% of land area)"
"171","AG.LND.FRST.ZS",1998,209,"Forest area (% of land area)"
"172","AG.LND.FRST.ZS",1999,209,"Forest area (% of land area)"
"173","AG.LND.FRST.ZS",2000,213,"Forest area (% of land area)"
"174","AG.LND.FRST.ZS",2001,210,"Forest area (% of land area)"
"175","AG.LND.FRST.ZS",2002,210,"Forest area (% of land area)"
"176","AG.LND.FRST.ZS",2003,210,"Forest area (% of land area)"
"177","AG.LND.FRST.ZS",2004,210,"Forest area (% of land area)"
"178","AG.LND.FRST.ZS",2005,210,"Forest area (% of land area)"
"179","AG.LND.FRST.ZS",2006,210,"Forest area (% of land area)"
"180","AG.LND.FRST.ZS",2007,210,"Forest area (% of land area)"
"181","AG.LND.FRST.ZS",2008,210,"Forest area (% of land area)"
"182","AG.LND.FRST.ZS",2009,210,"Forest area (% of land area)"
"183","AG.LND.FRST.ZS",2010,213,"Forest area (% of land area)"
"184","AG.LND.FRST.ZS",2011,214,"Forest area (% of land area)"
"185","AG.LND.FRST.ZS",2012,214,"Forest area (% of land area)"
"186","AG.LND.FRST.ZS",2013,214,"Forest area (% of land area)"
"187","AG.LND.FRST.ZS",2014,214,"Forest area (% of land area)"
"188","AG.LND.FRST.ZS",2015,214,"Forest area (% of land area)"
"189","AG.LND.FRST.ZS",2016,214,"Forest area (% of land area)"
"190","AG.LND.FRST.ZS",2017,214,"Forest area (% of land area)"
"191","AG.LND.FRST.ZS",2018,214,"Forest area (% of land area)"
"192","AG.LND.FRST.ZS",2019,210,"Forest area (% of land area)"
"193","AG.LND.FRST.ZS",2020,210,"Forest area (% of land area)"
"194","AG.LND.PRCP.MM",1962,157,"Average precipitation in depth (mm per year)"
"195","AG.LND.PRCP.MM",1967,157,"Average precipitation in depth (mm per year)"
"196","AG.LND.PRCP.MM",1972,157,"Average precipitation in depth (mm per year)"
"197","AG.LND.PRCP.MM",1977,157,"Average precipitation in depth (mm per year)"
"198","AG.LND.PRCP.MM",1982,157,"Average precipitation in depth (mm per year)"
"199","AG.LND.PRCP.MM",1987,157,"Average precipitation in depth (mm per year)"
"200","AG.LND.PRCP.MM",1992,176,"Average precipitation in depth (mm per year)"
"201","AG.LND.PRCP.MM",1997,180,"Average precipitation in depth (mm per year)"
"202","AG.LND.PRCP.MM",2002,180,"Average precipitation in depth (mm per year)"
"203","AG.LND.PRCP.MM",2007,180,"Average precipitation in depth (mm per year)"
"204","AG.LND.PRCP.MM",2012,182,"Average precipitation in depth (mm per year)"
"205","AG.LND.PRCP.MM",2014,2,"Average precipitation in depth (mm per year)"
"206","AG.LND.PRCP.MM",2017,180,"Average precipitation in depth (mm per year)"
"207","AG.LND.TOTL.K2",1961,211,"Land area (sq. km)"
"208","AG.LND.TOTL.K2",1962,211,"Land area (sq. km)"
"209","AG.LND.TOTL.K2",1963,211,"Land area (sq. km)"
"210","AG.LND.TOTL.K2",1964,211,"Land area (sq. km)"
